A1|Dressing for one wound
G6010|"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 20 mev or greater"
G6011|"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; up to 5 mev"
G6012|"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 6-10 mev"
G6013|"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 11-19 mev"
G6014|"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 20 mev or greater"
G6015|"Intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc, per treatment session"
G6016|"Compensator-based beam modulation treatment delivery of inverse planned treatment using 3 or more high resolution (milled or cast) compensator, convergent beam modulated fields, per treatment session"
G6017|"Intra-fraction localization and tracking of target or patient motion during delivery of radiation therapy (eg,3d positional tracking, gating, 3d surface tracking), each fraction of treatment"
G6018|"Ileoscopy,through stoma; with transendoscopic stent placement (includes predilation)"
G6019|"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
G6020|Colonoscopy through stoma; with transendoscopic stent placement (includes predilation)
G6021|"Unlisted procedure, intestine"
G6022|"Sigmoidoscopy, flexible; with ablation of tumor(s), polyp(s), or other lesions(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique"
G6023|"Sigmoidoscopy, flexible; with transendoscopic stent placement (includes predilation)"
G6024|"Colonoscopy, flexible; proximal to splenic flexure; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare tehnique"
G6025|"Colonoscopy, flexible, proximal to splenic flexure; with transendoscopic stent placement (includes predilation)"
G6027|"Anoscopy, high resolution (hra) (with magnification and chemical agent enhancement); diagnostic, including collection of specimen(s) by brushing or washing when performed"
G6028|"Anoscopy, high resolution (hra) (with magnification and chemical agent enhancement); with biopsy(ies)"
G6030|Amitriptyline
G6031|Benzodiazepines
G6032|Desipramine
G6034|Doxepin
G6035|Gold
G6036|Assay of imipramine
G6037|Nortriptyline
G6038|Salicylate
G6039|Acetaminophen
G6040|Alcohol (ethanol); any specimen except breath
G6041|"Alkaloids, urine, quantitative"
G6042|Amphetamine or methamphetamine
G6043|"Barbiturates, not elsewhere specified"
G6044|Cocaine or metabolite
G6045|Dihydrocodeinone
G6046|Dihydromorphinone
G6047|Dihydrotestosterone
G6048|Dimethadione
G6049|Epiandrosterone
G6050|Ethchlorvynol
G6051|Flurazepam
G6052|Meprobamate
G6053|Methadone
G6054|Methsuximide
G6055|Nicotine
G6056|"Opiate(s), drug and metabolites, each procedure"
G6057|Phenothiazine
G6058|"Drug confirmation, each procedure"
G8126|Patient with a diagnosis of major depression documented as being treated with antidepressant medication during the entire 84 day (12 week)  acute treatment phase
G8127|Patient with a diagnosis of major depression not documented as being treated with antidepressant medication during the entire 84 day (12 week) acute treatment phase
G8128|Clinician documented that patient was not an eligible candidate for antidepressant medication during the entire 12 week acute treatment phase measure
G8395|Left ventricular ejection fraction (lvef) >= 40% or documentation as normal or mildly depressed left ventricular systolic function
G8396|Left ventricular ejection fraction (lvef) not performed or documented
G8397|"Dilated macular or fundus exam performed, including documentation of the presence or absence of macular edema and level of severity of retinopathy"
G8398|Dilated macular or fundus exam not performed
G8399|Patient with documented results of a central dual-energy x-ray absorptiometry (dxa) ever being performed
G8400|"Patient with central dual-energy x-ray absorptiometry (dxa) results not documented, reason not given"
G8401|Clinician documented that patient was not an eligible candidate for screening
G8404|Lower extremity neurological exam performed and documented
G8405|Lower extremity neurological exam not performed
G8406|Clinician documented that patient was not an eligible candidate for lower extremity neurological exam measure
G8410|Footwear evaluation performed and documented
G8415|Footwear evaluation was not performed
G8416|Clinician documented that patient was not an eligible candidate for footwear evaluation measure
